One,Two
"['01,10,20,37,38,49,31', '05,34,42,46,48,49,14', '04,12,21,24,33,35,42']","04,11,36,40,41,48,49"
"['05,34,42,46,48,49,14', '04,12,21,24,33,35,42', '04,11,36,40,41,48,49']","12,14,35,37,42,47,06"
"['04,12,21,24,33,35,42', '04,11,36,40,41,48,49', '12,14,35,37,42,47,06']","12,17,26,33,35,39,10"
"['04,11,36,40,41,48,49', '12,14,35,37,42,47,06', '12,17,26,33,35,39,10']","15,30,31,37,39,48,08"
"['12,14,35,37,42,47,06', '12,17,26,33,35,39,10', '15,30,31,37,39,48,08']","12,14,18,19,37,47,30"
"['12,17,26,33,35,39,10', '15,30,31,37,39,48,08', '12,14,18,19,37,47,30']","11,17,20,34,37,41,06"
"['15,30,31,37,39,48,08', '12,14,18,19,37,47,30', '11,17,20,34,37,41,06']","11,17,32,33,38,46,15"
"['12,14,18,19,37,47,30', '11,17,20,34,37,41,06', '11,17,32,33,38,46,15']","02,04,11,33,39,42,19"
"['11,17,20,34,37,41,06', '11,17,32,33,38,46,15', '02,04,11,33,39,42,19']","09,13,15,26,31,33,10"
"['11,17,32,33,38,46,15', '02,04,11,33,39,42,19', '09,13,15,26,31,33,10']","08,20,31,36,38,45,33"
"['02,04,11,33,39,42,19', '09,13,15,26,31,33,10', '08,20,31,36,38,45,33']","07,12,26,30,31,32,13"
"['09,13,15,26,31,33,10', '08,20,31,36,38,45,33', '07,12,26,30,31,32,13']","05,16,27,29,33,45,28"
"['08,20,31,36,38,45,33', '07,12,26,30,31,32,13', '05,16,27,29,33,45,28']","06,10,12,22,24,37,03"
"['07,12,26,30,31,32,13', '05,16,27,29,33,45,28', '06,10,12,22,24,37,03']","06,31,32,39,40,42,28"
"['05,16,27,29,33,45,28', '06,10,12,22,24,37,03', '06,31,32,39,40,42,28']","18,22,26,27,30,38,45"
"['06,10,12,22,24,37,03', '06,31,32,39,40,42,28', '18,22,26,27,30,38,45']","05,06,19,23,43,48,07"
"['06,31,32,39,40,42,28', '18,22,26,27,30,38,45', '05,06,19,23,43,48,07']","08,15,21,31,36,46,18"
"['18,22,26,27,30,38,45', '05,06,19,23,43,48,07', '08,15,21,31,36,46,18']","03,11,22,36,38,40,07"
"['05,06,19,23,43,48,07', '08,15,21,31,36,46,18', '03,11,22,36,38,40,07']","12,13,19,21,29,39,41"
"['08,15,21,31,36,46,18', '03,11,22,36,38,40,07', '12,13,19,21,29,39,41']","07,10,18,32,41,46,42"
"['03,11,22,36,38,40,07', '12,13,19,21,29,39,41', '07,10,18,32,41,46,42']","02,07,12,21,23,45,10"
"['12,13,19,21,29,39,41', '07,10,18,32,41,46,42', '02,07,12,21,23,45,10']","09,15,27,28,40,43,45"
"['07,10,18,32,41,46,42', '02,07,12,21,23,45,10', '09,15,27,28,40,43,45']","11,17,27,31,33,37,12"
"['02,07,12,21,23,45,10', '09,15,27,28,40,43,45', '11,17,27,31,33,37,12']","02,14,23,29,35,43,22"
"['09,15,27,28,40,43,45', '11,17,27,31,33,37,12', '02,14,23,29,35,43,22']","06,07,19,31,32,40,15"
"['11,17,27,31,33,37,12', '02,14,23,29,35,43,22', '06,07,19,31,32,40,15']","01,04,19,24,47,49,36"
"['02,14,23,29,35,43,22', '06,07,19,31,32,40,15', '01,04,19,24,47,49,36']","08,24,29,37,44,48,06"
"['06,07,19,31,32,40,15', '01,04,19,24,47,49,36', '08,24,29,37,44,48,06']","08,14,16,18,30,35,36"
"['01,04,19,24,47,49,36', '08,24,29,37,44,48,06', '08,14,16,18,30,35,36']","04,11,24,29,32,45,49"
"['08,24,29,37,44,48,06', '08,14,16,18,30,35,36', '04,11,24,29,32,45,49']","01,14,23,36,39,41,04"
"['08,14,16,18,30,35,36', '04,11,24,29,32,45,49', '01,14,23,36,39,41,04']","12,26,32,34,45,46,14"
"['04,11,24,29,32,45,49', '01,14,23,36,39,41,04', '12,26,32,34,45,46,14']","10,36,37,44,45,46,48"
"['01,14,23,36,39,41,04', '12,26,32,34,45,46,14', '10,36,37,44,45,46,48']","11,28,29,38,43,49,22"
"['12,26,32,34,45,46,14', '10,36,37,44,45,46,48', '11,28,29,38,43,49,22']","05,28,38,40,41,47,25"
"['10,36,37,44,45,46,48', '11,28,29,38,43,49,22', '05,28,38,40,41,47,25']","01,03,12,16,29,49,04"
"['11,28,29,38,43,49,22', '05,28,38,40,41,47,25', '01,03,12,16,29,49,04']","06,13,14,19,24,38,26"
"['05,28,38,40,41,47,25', '01,03,12,16,29,49,04', '06,13,14,19,24,38,26']","01,12,16,37,41,47,36"
"['01,03,12,16,29,49,04', '06,13,14,19,24,38,26', '01,12,16,37,41,47,36']","07,16,17,36,47,48,49"
"['06,13,14,19,24,38,26', '01,12,16,37,41,47,36', '07,16,17,36,47,48,49']","05,10,12,20,28,36,15"
"['01,12,16,37,41,47,36', '07,16,17,36,47,48,49', '05,10,12,20,28,36,15']","05,07,22,37,40,45,12"
"['07,16,17,36,47,48,49', '05,10,12,20,28,36,15', '05,07,22,37,40,45,12']","03,11,15,25,31,48,36"
"['05,10,12,20,28,36,15', '05,07,22,37,40,45,12', '03,11,15,25,31,48,36']","12,13,16,21,42,43,39"
"['05,07,22,37,40,45,12', '03,11,15,25,31,48,36', '12,13,16,21,42,43,39']","01,08,14,27,40,45,34"
"['03,11,15,25,31,48,36', '12,13,16,21,42,43,39', '01,08,14,27,40,45,34']","06,17,22,34,38,42,20"
"['12,13,16,21,42,43,39', '01,08,14,27,40,45,34', '06,17,22,34,38,42,20']","06,20,22,43,45,48,11"
"['01,08,14,27,40,45,34', '06,17,22,34,38,42,20', '06,20,22,43,45,48,11']","01,03,04,24,32,43,37"
"['06,17,22,34,38,42,20', '06,20,22,43,45,48,11', '01,03,04,24,32,43,37']","01,03,40,44,46,48,02"
"['06,20,22,43,45,48,11', '01,03,04,24,32,43,37', '01,03,40,44,46,48,02']","11,16,19,29,30,45,01"
"['01,03,04,24,32,43,37', '01,03,40,44,46,48,02', '11,16,19,29,30,45,01']","05,08,14,19,22,47,24"
"['01,03,40,44,46,48,02', '11,16,19,29,30,45,01', '05,08,14,19,22,47,24']","06,08,18,19,20,30,22"
"['11,16,19,29,30,45,01', '05,08,14,19,22,47,24', '06,08,18,19,20,30,22']","08,13,14,32,36,42,05"
"['05,08,14,19,22,47,24', '06,08,18,19,20,30,22', '08,13,14,32,36,42,05']","07,21,29,33,40,41,08"
"['06,08,18,19,20,30,22', '08,13,14,32,36,42,05', '07,21,29,33,40,41,08']","17,23,28,29,32,39,12"
"['08,13,14,32,36,42,05', '07,21,29,33,40,41,08', '17,23,28,29,32,39,12']","13,18,30,34,45,49,33"
"['07,21,29,33,40,41,08', '17,23,28,29,32,39,12', '13,18,30,34,45,49,33']","06,08,24,32,34,36,49"
"['17,23,28,29,32,39,12', '13,18,30,34,45,49,33', '06,08,24,32,34,36,49']","12,24,28,36,37,40,06"
"['13,18,30,34,45,49,33', '06,08,24,32,34,36,49', '12,24,28,36,37,40,06']","02,07,22,35,46,49,41"
"['06,08,24,32,34,36,49', '12,24,28,36,37,40,06', '02,07,22,35,46,49,41']","10,17,20,21,32,41,34"
"['12,24,28,36,37,40,06', '02,07,22,35,46,49,41', '10,17,20,21,32,41,34']","14,20,24,30,44,48,31"
"['02,07,22,35,46,49,41', '10,17,20,21,32,41,34', '14,20,24,30,44,48,31']","03,10,14,15,20,45,02"
"['10,17,20,21,32,41,34', '14,20,24,30,44,48,31', '03,10,14,15,20,45,02']","02,20,36,37,42,46,29"
"['14,20,24,30,44,48,31', '03,10,14,15,20,45,02', '02,20,36,37,42,46,29']","04,05,10,30,39,45,14"
"['03,10,14,15,20,45,02', '02,20,36,37,42,46,29', '04,05,10,30,39,45,14']","12,20,30,38,40,41,10"
"['02,20,36,37,42,46,29', '04,05,10,30,39,45,14', '12,20,30,38,40,41,10']","13,20,22,31,34,42,09"
"['04,05,10,30,39,45,14', '12,20,30,38,40,41,10', '13,20,22,31,34,42,09']","04,19,21,28,39,43,18"
"['12,20,30,38,40,41,10', '13,20,22,31,34,42,09', '04,19,21,28,39,43,18']","06,07,08,20,47,48,30"
"['13,20,22,31,34,42,09', '04,19,21,28,39,43,18', '06,07,08,20,47,48,30']","18,23,24,25,39,42,48"
"['04,19,21,28,39,43,18', '06,07,08,20,47,48,30', '18,23,24,25,39,42,48']","07,11,19,23,35,44,33"
"['06,07,08,20,47,48,30', '18,23,24,25,39,42,48', '07,11,19,23,35,44,33']","07,26,27,28,30,32,44"
"['18,23,24,25,39,42,48', '07,11,19,23,35,44,33', '07,26,27,28,30,32,44']","05,19,21,34,41,49,42"
"['07,11,19,23,35,44,33', '07,26,27,28,30,32,44', '05,19,21,34,41,49,42']","05,08,11,15,33,37,03"
"['07,26,27,28,30,32,44', '05,19,21,34,41,49,42', '05,08,11,15,33,37,03']","06,09,14,19,38,49,20"
"['05,19,21,34,41,49,42', '05,08,11,15,33,37,03', '06,09,14,19,38,49,20']","07,12,15,21,27,47,48"
"['05,08,11,15,33,37,03', '06,09,14,19,38,49,20', '07,12,15,21,27,47,48']","11,20,29,33,34,36,18"
"['06,09,14,19,38,49,20', '07,12,15,21,27,47,48', '11,20,29,33,34,36,18']","03,06,12,16,17,20,14"
"['07,12,15,21,27,47,48', '11,20,29,33,34,36,18', '03,06,12,16,17,20,14']","05,14,20,27,29,45,07"
"['11,20,29,33,34,36,18', '03,06,12,16,17,20,14', '05,14,20,27,29,45,07']","27,33,36,41,43,44,31"
"['03,06,12,16,17,20,14', '05,14,20,27,29,45,07', '27,33,36,41,43,44,31']","07,20,21,34,37,43,05"
"['05,14,20,27,29,45,07', '27,33,36,41,43,44,31', '07,20,21,34,37,43,05']","04,31,34,36,40,44,20"
"['27,33,36,41,43,44,31', '07,20,21,34,37,43,05', '04,31,34,36,40,44,20']","07,11,23,30,38,49,45"
"['07,20,21,34,37,43,05', '04,31,34,36,40,44,20', '07,11,23,30,38,49,45']","07,21,35,36,42,43,10"
"['04,31,34,36,40,44,20', '07,11,23,30,38,49,45', '07,21,35,36,42,43,10']","04,12,14,15,22,48,28"
"['07,11,23,30,38,49,45', '07,21,35,36,42,43,10', '04,12,14,15,22,48,28']","02,05,26,29,38,39,07"
"['07,21,35,36,42,43,10', '04,12,14,15,22,48,28', '02,05,26,29,38,39,07']","05,16,18,32,41,47,02"
"['04,12,14,15,22,48,28', '02,05,26,29,38,39,07', '05,16,18,32,41,47,02']","03,09,28,32,39,47,07"
"['02,05,26,29,38,39,07', '05,16,18,32,41,47,02', '03,09,28,32,39,47,07']","08,10,23,33,41,46,48"
"['05,16,18,32,41,47,02', '03,09,28,32,39,47,07', '08,10,23,33,41,46,48']","06,09,13,20,42,43,21"
"['03,09,28,32,39,47,07', '08,10,23,33,41,46,48', '06,09,13,20,42,43,21']","07,18,20,32,42,49,24"
"['08,10,23,33,41,46,48', '06,09,13,20,42,43,21', '07,18,20,32,42,49,24']","01,24,39,40,46,49,33"
"['06,09,13,20,42,43,21', '07,18,20,32,42,49,24', '01,24,39,40,46,49,33']","04,06,07,12,20,21,29"
"['07,18,20,32,42,49,24', '01,24,39,40,46,49,33', '04,06,07,12,20,21,29']","08,13,16,23,35,41,21"
"['01,24,39,40,46,49,33', '04,06,07,12,20,21,29', '08,13,16,23,35,41,21']","03,09,10,42,44,47,05"
"['04,06,07,12,20,21,29', '08,13,16,23,35,41,21', '03,09,10,42,44,47,05']","02,08,16,33,42,47,14"
"['08,13,16,23,35,41,21', '03,09,10,42,44,47,05', '02,08,16,33,42,47,14']","01,02,07,20,27,37,19"
"['03,09,10,42,44,47,05', '02,08,16,33,42,47,14', '01,02,07,20,27,37,19']","19,25,27,39,40,46,06"
"['02,08,16,33,42,47,14', '01,02,07,20,27,37,19', '19,25,27,39,40,46,06']","03,05,10,11,29,45,25"
"['01,02,07,20,27,37,19', '19,25,27,39,40,46,06', '03,05,10,11,29,45,25']","11,23,34,36,41,45,43"
"['19,25,27,39,40,46,06', '03,05,10,11,29,45,25', '11,23,34,36,41,45,43']","19,29,36,37,45,46,18"
"['03,05,10,11,29,45,25', '11,23,34,36,41,45,43', '19,29,36,37,45,46,18']","14,16,18,23,25,44,41"
"['11,23,34,36,41,45,43', '19,29,36,37,45,46,18', '14,16,18,23,25,44,41']","02,08,14,21,37,44,49"
"['19,29,36,37,45,46,18', '14,16,18,23,25,44,41', '02,08,14,21,37,44,49']","04,06,10,15,42,49,12"
"['14,16,18,23,25,44,41', '02,08,14,21,37,44,49', '04,06,10,15,42,49,12']","12,15,34,37,43,46,38"
"['02,08,14,21,37,44,49', '04,06,10,15,42,49,12', '12,15,34,37,43,46,38']","08,10,11,39,42,44,27"
"['04,06,10,15,42,49,12', '12,15,34,37,43,46,38', '08,10,11,39,42,44,27']","03,07,09,31,39,45,35"
"['12,15,34,37,43,46,38', '08,10,11,39,42,44,27', '03,07,09,31,39,45,35']","08,12,17,28,31,34,01"
"['08,10,11,39,42,44,27', '03,07,09,31,39,45,35', '08,12,17,28,31,34,01']","03,14,19,21,35,48,13"
"['03,07,09,31,39,45,35', '08,12,17,28,31,34,01', '03,14,19,21,35,48,13']","15,16,17,25,34,49,05"
"['08,12,17,28,31,34,01', '03,14,19,21,35,48,13', '15,16,17,25,34,49,05']","05,07,16,18,36,48,37"
"['03,14,19,21,35,48,13', '15,16,17,25,34,49,05', '05,07,16,18,36,48,37']","12,13,19,25,30,46,05"
"['15,16,17,25,34,49,05', '05,07,16,18,36,48,37', '12,13,19,25,30,46,05']","04,06,30,35,40,43,13"
"['05,07,16,18,36,48,37', '12,13,19,25,30,46,05', '04,06,30,35,40,43,13']","15,20,22,31,35,37,14"
"['12,13,19,25,30,46,05', '04,06,30,35,40,43,13', '15,20,22,31,35,37,14']","05,12,17,19,35,48,09"
"['04,06,30,35,40,43,13', '15,20,22,31,35,37,14', '05,12,17,19,35,48,09']","24,25,29,32,42,49,12"
"['15,20,22,31,35,37,14', '05,12,17,19,35,48,09', '24,25,29,32,42,49,12']","09,12,13,24,39,45,38"
"['05,12,17,19,35,48,09', '24,25,29,32,42,49,12', '09,12,13,24,39,45,38']","11,20,26,34,41,43,09"
"['24,25,29,32,42,49,12', '09,12,13,24,39,45,38', '11,20,26,34,41,43,09']","02,14,21,31,42,46,04"
"['09,12,13,24,39,45,38', '11,20,26,34,41,43,09', '02,14,21,31,42,46,04']","09,11,21,24,39,43,07"
"['11,20,26,34,41,43,09', '02,14,21,31,42,46,04', '09,11,21,24,39,43,07']","02,03,21,28,32,47,27"
"['02,14,21,31,42,46,04', '09,11,21,24,39,43,07', '02,03,21,28,32,47,27']","09,11,20,31,34,44,10"
"['09,11,21,24,39,43,07', '02,03,21,28,32,47,27', '09,11,20,31,34,44,10']","04,13,27,30,37,41,20"
"['02,03,21,28,32,47,27', '09,11,20,31,34,44,10', '04,13,27,30,37,41,20']","05,09,11,23,37,44,24"
"['09,11,20,31,34,44,10', '04,13,27,30,37,41,20', '05,09,11,23,37,44,24']","06,07,11,25,26,30,31"
"['04,13,27,30,37,41,20', '05,09,11,23,37,44,24', '06,07,11,25,26,30,31']","08,09,28,34,37,42,15"
"['05,09,11,23,37,44,24', '06,07,11,25,26,30,31', '08,09,28,34,37,42,15']","16,25,28,30,44,46,27"
"['06,07,11,25,26,30,31', '08,09,28,34,37,42,15', '16,25,28,30,44,46,27']","02,03,14,15,35,37,29"
"['08,09,28,34,37,42,15', '16,25,28,30,44,46,27', '02,03,14,15,35,37,29']","02,09,17,31,32,40,47"
"['16,25,28,30,44,46,27', '02,03,14,15,35,37,29', '02,09,17,31,32,40,47']","02,17,22,25,26,41,16"
"['02,03,14,15,35,37,29', '02,09,17,31,32,40,47', '02,17,22,25,26,41,16']","16,26,28,33,42,49,20"
"['02,09,17,31,32,40,47', '02,17,22,25,26,41,16', '16,26,28,33,42,49,20']","11,14,20,26,37,41,02"
"['02,17,22,25,26,41,16', '16,26,28,33,42,49,20', '11,14,20,26,37,41,02']","01,06,22,24,32,42,16"
"['16,26,28,33,42,49,20', '11,14,20,26,37,41,02', '01,06,22,24,32,42,16']","02,13,24,29,41,49,45"
"['11,14,20,26,37,41,02', '01,06,22,24,32,42,16', '02,13,24,29,41,49,45']","01,11,36,38,41,42,48"
